Date,High,Low,Open,Close,Volume,Adj Close
2013-10-09,14037.83984375,13751.849609375,13789.8896484375,14037.83984375,162100,14037.83984375
2013-10-10,14200.3095703125,14077.0302734375,14097.6201171875,14194.7099609375,143200,14194.7099609375
2013-10-11,14447.8701171875,14320.2998046875,14376.8896484375,14404.740234375,169900,14404.740234375
2013-10-15,14510.3701171875,14415.759765625,14510.26953125,14441.5400390625,125600,14441.5400390625
2013-10-16,14493.669921875,14417.6103515625,14433.6396484375,14467.1396484375,116200,14467.1396484375
2013-10-17,14664.2197265625,14492.669921875,14640.080078125,14586.509765625,135600,14586.509765625
2013-10-18,14610.08984375,14503.08984375,14589.599609375,14561.5400390625,120100,14561.5400390625
2013-10-21,14727.849609375,14624.0302734375,14624.0302734375,14693.5703125,99100,14693.5703125
2013-10-22,14747.76953125,14641.7802734375,14677.080078125,14713.25,99200,14713.25
2013-10-23,14799.2802734375,14426.0498046875,14784.41015625,14426.0498046875,153500,14426.0498046875
2013-10-24,14499.51953125,14273.7099609375,14344.740234375,14486.41015625,144900,14486.41015625
2013-10-25,14442.1201171875,14088.1904296875,14439.1396484375,14088.1904296875,139000,14088.1904296875
2013-10-28,14400.3203125,14194.419921875,14261.650390625,14396.0400390625,109500,14396.0400390625
2013-10-29,14395.9599609375,14224.58984375,14288.7197265625,14325.98046875,135600,14325.98046875
2013-10-30,14526.8798828125,14425.580078125,14464.669921875,14502.349609375,156800,14502.349609375
2013-10-31,14516.080078125,14324.169921875,14474.009765625,14327.9404296875,158400,14327.9404296875
2013-11-01,14411.0498046875,14126.41015625,14403.0703125,14201.5703125,170800,14201.5703125
2013-11-05,14323.240234375,14141.8203125,14319.75,14225.3701171875,167100,14225.3701171875
2013-11-06,14407.6904296875,14130.8603515625,14155.33984375,14337.3095703125,142200,14337.3095703125
2013-11-07,14371.5595703125,14222.0302734375,14355.5595703125,14228.4404296875,111600,14228.4404296875
2013-11-08,14122.2802734375,14026.169921875,14026.169921875,14086.7998046875,117800,14086.7998046875
2013-11-11,14304.2900390625,14208.1298828125,14271.48046875,14269.83984375,113500,14269.83984375
2013-11-12,14588.6796875,14278.2099609375,14289.8701171875,14588.6796875,157600,14588.6796875
2013-11-13,14599.5302734375,14490.919921875,14527.9697265625,14567.16015625,170200,14567.16015625
2013-11-14,14966.4296875,14665.75,14665.75,14876.41015625,190100,14876.41015625
2013-11-15,15203.1103515625,14994.7001953125,15034.330078125,15165.919921875,212600,15165.919921875
2013-11-18,15273.6103515625,15106.8203125,15253.240234375,15164.2998046875,180100,15164.2998046875
2013-11-19,15163.0595703125,15020.330078125,15096.6298828125,15126.5595703125,130200,15126.5595703125
2013-11-20,15209.669921875,15069.98046875,15176.349609375,15076.080078125,142500,15076.080078125
2013-11-21,15377.0,15168.4697265625,15176.650390625,15365.599609375,168200,15365.599609375
2013-11-22,15579.3896484375,15307.4404296875,15513.4501953125,15381.7197265625,211300,15381.7197265625
2013-11-25,15619.1298828125,15469.8701171875,15504.7802734375,15619.1298828125,176400,15619.1298828125
2013-11-26,15577.9697265625,15460.9697265625,15501.9501953125,15515.240234375,156700,15515.240234375
2013-11-27,15512.759765625,15414.51953125,15414.51953125,15449.6298828125,144700,15449.6298828125
2013-11-28,15729.08984375,15605.73046875,15622.1904296875,15727.1201171875,154000,15727.1201171875
2013-11-29,15727.9599609375,15507.169921875,15661.4296875,15661.8701171875,158300,15661.8701171875
2013-12-02,15703.01953125,15579.5400390625,15659.740234375,15655.0703125,143200,15655.0703125
2013-12-03,15794.150390625,15661.900390625,15747.5400390625,15749.66015625,167200,15749.66015625
2013-12-04,15579.3603515625,15326.0595703125,15520.2001953125,15407.9404296875,159000,15407.9404296875
2013-12-05,15430.2001953125,15139.1201171875,15354.5302734375,15177.490234375,150700,15177.490234375
2013-12-06,15327.3701171875,15112.5400390625,15112.5400390625,15299.8603515625,135300,15299.8603515625
2013-12-09,15650.2099609375,15547.2900390625,15556.599609375,15650.2099609375,136900,15650.2099609375
2013-12-10,15633.9697265625,15562.0595703125,15633.9697265625,15611.3095703125,127200,15611.3095703125
2013-12-11,15562.2998046875,15386.1103515625,15509.9296875,15515.0595703125,129200,15515.0595703125
2013-12-12,15392.66015625,15255.3603515625,15377.3203125,15341.8203125,132300,15341.8203125
2013-12-13,15532.9404296875,15251.4501953125,15316.8896484375,15403.1103515625,246200,15403.1103515625
2013-12-16,15408.349609375,15146.1298828125,15408.349609375,15152.91015625,139600,15152.91015625
2013-12-17,15322.1298828125,15248.419921875,15290.2197265625,15278.6298828125,120400,15278.6298828125
2013-12-18,15588.419921875,15268.1796875,15273.240234375,15587.7998046875,175200,15587.7998046875
2013-12-19,15891.8203125,15798.849609375,15809.4296875,15859.2197265625,190300,15859.2197265625
2013-12-20,15870.419921875,15755.3603515625,15790.6904296875,15870.419921875,165000,15870.419921875
2013-12-24,16029.650390625,15849.0,15955.900390625,15889.330078125,163000,15889.330078125
2013-12-25,16010.5400390625,15853.509765625,15861.1298828125,16009.990234375,147400,16009.990234375
2013-12-26,16186.0400390625,16082.2802734375,16087.0703125,16174.4404296875,170200,16174.4404296875
2013-12-27,16232.6904296875,16056.73046875,16229.4296875,16178.9404296875,170600,16178.9404296875
2013-12-30,16320.2197265625,16182.7099609375,16269.2197265625,16291.3095703125,182100,16291.3095703125
2014-01-06,16164.009765625,15864.4404296875,16147.5400390625,15908.8798828125,192700,15908.8798828125
2014-01-07,15935.3701171875,15784.25,15835.41015625,15814.3701171875,165900,15814.3701171875
2014-01-08,16121.4501953125,15906.5703125,15943.6796875,16121.4501953125,206700,16121.4501953125
2014-01-09,16004.5595703125,15838.4404296875,16002.8798828125,15880.330078125,217400,15880.330078125
2014-01-10,15922.1396484375,15754.7001953125,15785.150390625,15912.0595703125,237500,15912.0595703125
2014-01-14,15661.7099609375,15383.6904296875,15657.2001953125,15422.400390625,214500,15422.400390625
2014-01-15,15808.73046875,15636.5703125,15649.0703125,15808.73046875,185800,15808.73046875
2014-01-16,15941.080078125,15710.1396484375,15845.150390625,15747.2001953125,214200,15747.2001953125
2014-01-17,15783.3701171875,15621.7998046875,15695.4599609375,15734.4599609375,180100,15734.4599609375
2014-01-20,15727.259765625,15574.23046875,15724.1396484375,15641.6796875,142200,15641.6796875
