DATE,DEXCHUS
2013-08-28,6.1202
2013-08-29,6.1203
2013-08-30,6.1193
2013-09-03,6.1204
2013-09-04,6.1199
2013-09-05,6.1194
2013-09-06,6.1202
2013-09-09,6.1209
2013-09-10,6.1195
2013-09-11,6.1183
2013-09-12,6.1178
2013-09-13,6.1186
2013-09-16,6.1198
2013-09-17,6.1213
2013-09-18,6.121
2013-09-19,6.121
2013-09-20,6.121
2013-09-23,6.1201
2013-09-24,6.1208
2013-09-25,6.119
2013-09-26,6.1194
2013-09-27,6.1179
2013-09-30,6.12
2013-10-01,6.12
2013-10-02,6.12
2013-10-03,6.12
2013-10-04,6.12
2013-10-07,6.12
2013-10-08,6.1206
2013-10-09,6.1209
2013-10-10,6.1156
2013-10-11,6.1204
2013-10-15,6.1026
2013-10-16,6.0996
2013-10-17,6.098
2013-10-18,6.0966
2013-10-21,6.0924
2013-10-22,6.0925
2013-10-23,6.0833
2013-10-24,6.0815
2013-10-25,6.0838
2013-10-28,6.0853
2013-10-29,6.0897
2013-10-30,6.0936
2013-10-31,6.0943
2013-11-01,6.0993
2013-11-04,6.098
2013-11-05,6.0966
2013-11-06,6.0925
2013-11-07,6.0906
2013-11-08,6.0903
2013-11-12,6.0917
2013-11-13,6.0926
2013-11-14,6.092
2013-11-15,6.092
2013-11-18,6.0918
2013-11-19,6.0924
2013-11-20,6.0925
2013-11-21,6.0914
2013-11-22,6.0935
2013-11-25,6.0916
2013-11-26,6.0925
2013-11-27,6.0922
2013-11-29,6.0922
2013-12-02,6.0927
2013-12-03,6.0914
2013-12-04,6.0913
2013-12-05,6.0903
2013-12-06,6.0815
2013-12-09,6.0643
2013-12-10,6.0705
2013-12-11,6.0712
2013-12-12,6.071
2013-12-13,6.071
2013-12-16,6.0713
2013-12-17,6.0707
2013-12-18,6.0713
2013-12-19,6.0711
2013-12-20,6.0711
2013-12-23,6.0697
2013-12-24,6.0712
2013-12-26,6.0744
2013-12-27,6.0684
2013-12-30,6.0617
2013-12-31,6.0537
2014-01-02,6.0504
2014-01-03,6.0505
2014-01-06,6.0524
2014-01-07,6.0507
2014-01-08,6.051
2014-01-09,6.054
2014-01-10,6.0519
2014-01-13,6.0432
2014-01-14,6.0402
2014-01-15,6.0459
2014-01-16,6.0555
2014-01-17,6.05
2014-01-21,6.0503
2014-01-22,6.0508
2014-01-23,6.0515
2014-01-24,6.0486
2014-01-27,6.0478
2014-01-28,6.0506
2014-01-29,6.0554
2014-01-30,6.06
2014-01-31,6.059
2014-02-03,6.06
2014-02-04,6.06
2014-02-05,6.06
2014-02-06,6.06
2014-02-07,6.0629
2014-02-10,6.0591
2014-02-11,6.0601
2014-02-12,6.0614
2014-02-13,6.0631
2014-02-14,6.0666
2014-02-18,6.0671
2014-02-19,6.0762
2014-02-20,6.0832
2014-02-21,6.0912
2014-02-24,6.0982
2014-02-25,6.1243
2014-02-26,6.1243
2014-02-27,6.1279
2014-02-28,6.1448
2014-03-03,6.146
2014-03-04,6.143
2014-03-05,6.128
2014-03-06,6.1183
2014-03-07,6.1258
2014-03-10,6.1383
2014-03-11,6.1397
2014-03-12,6.1448
2014-03-13,6.1359
2014-03-14,6.15
2014-03-17,6.1779
2014-03-18,6.1918
2014-03-19,6.1934
2014-03-20,6.2273
2014-03-21,6.2248
2014-03-24,6.1956
2014-03-25,6.201
2014-03-26,6.2084
2014-03-27,6.2123
2014-03-28,6.2117
2014-03-31,6.2164
2014-04-01,6.2064
2014-04-02,6.2054
2014-04-03,6.2102
2014-04-04,6.2118
2014-04-07,6.2118
2014-04-08,6.1966
2014-04-09,6.2003
2014-04-10,6.2123
2014-04-11,6.2111
2014-04-14,6.2186
2014-04-15,6.2215
2014-04-16,6.2204
2014-04-17,6.2188
2014-04-18,6.224
2014-04-21,6.2269
2014-04-22,6.2373
2014-04-23,6.2374
2014-04-24,6.2484
2014-04-25,6.2534
2014-04-28,6.252
2014-04-29,6.2578
2014-04-30,6.2591
2014-05-01,6.2591
2014-05-02,6.2591
2014-05-05,6.2453
2014-05-06,6.2255
2014-05-07,6.2349
2014-05-08,6.2272
2014-05-09,6.227
2014-05-12,6.2364
2014-05-13,6.2283
2014-05-14,6.2282
2014-05-15,6.2291
2014-05-16,6.2327
2014-05-19,6.2368
2014-05-20,6.2377
2014-05-21,6.2335
2014-05-22,6.2348
2014-05-23,6.2363
2014-05-27,6.2471
2014-05-28,6.2535
2014-05-29,6.2375
2014-05-30,6.2471
2014-06-02,6.2471
2014-06-03,6.2536
2014-06-04,6.2494
2014-06-05,6.2548
2014-06-06,6.2498
2014-06-09,6.2397
2014-06-10,6.224
2014-06-11,6.2277
2014-06-12,6.2175
2014-06-13,6.209
2014-06-16,6.225
2014-06-17,6.2263
2014-06-18,6.2309
2014-06-19,6.2287
2014-06-20,6.224
2014-06-23,6.225
2014-06-24,6.2308
2014-06-25,6.2343
2014-06-26,6.2235
2014-06-27,6.218
2014-06-30,6.2036
2014-07-01,6.1995
2014-07-02,6.2101
2014-07-03,6.2115
2014-07-07,6.2036
2014-07-08,6.201
2014-07-09,6.1994
2014-07-10,6.2023
2014-07-11,6.2034
2014-07-14,6.2059
2014-07-15,6.2075
2014-07-16,6.2035
2014-07-17,6.2033
2014-07-18,6.2075
2014-07-21,6.2088
2014-07-22,6.2025
2014-07-23,6.1982
2014-07-24,6.1944
2014-07-25,6.1913
2014-07-28,6.187
2014-07-29,6.18
2014-07-30,6.1712
2014-07-31,6.1737
2014-08-01,6.1793
2014-08-04,6.178
2014-08-05,6.1705
2014-08-06,6.1625
2014-08-07,6.1618
2014-08-08,6.1557
2014-08-11,6.1528
2014-08-12,6.1575
2014-08-13,6.1531
2014-08-14,6.1575
2014-08-15,6.147
2014-08-18,6.1425
2014-08-19,6.1425
2014-08-20,6.1395
2014-08-21,6.151
2014-08-22,6.151
2014-08-25,6.154
2014-08-26,6.1522
2014-08-27,6.143
2014-08-28,6.1423
2014-08-29,6.143
2014-09-02,6.148
2014-09-03,6.1408
2014-09-04,6.1383
2014-09-05,6.14
2014-09-08,6.14
2014-09-09,6.1362
2014-09-10,6.1284
2014-09-11,6.1295
2014-09-12,6.1344
2014-09-15,6.1415
2014-09-16,6.1459
2014-09-17,6.1385
2014-09-18,6.14
2014-09-19,6.1403
2014-09-22,6.14
2014-09-23,6.1368
2014-09-24,6.1346
2014-09-25,6.1355
2014-09-26,6.1266
2014-09-29,6.1495
2014-09-30,6.138
2014-10-01,6.138
2014-10-02,6.138
2014-10-03,6.1385
2014-10-06,6.1385
2014-10-07,6.1385
2014-10-08,6.1385
2014-10-09,6.1299
2014-10-10,6.1308
2014-10-14,6.125
2014-10-15,6.1249
2014-10-16,6.123
2014-10-17,6.1238
2014-10-20,6.1233
2014-10-21,6.1205
2014-10-22,6.118
2014-10-23,6.119
2014-10-24,6.1168
2014-10-27,6.116
2014-10-28,6.113
2014-10-29,6.1107
2014-10-30,6.114
2014-10-31,6.1124
2014-11-03,6.1178
2014-11-04,6.115
2014-11-05,6.1135
2014-11-06,6.1117
2014-11-07,6.1225
2014-11-10,6.119
2014-11-12,6.1257
2014-11-13,6.1243
2014-11-14,6.129
2014-11-17,6.1242
2014-11-18,6.1208
2014-11-19,6.119
2014-11-20,6.123
2014-11-21,6.1244
2014-11-24,6.1412
2014-11-25,6.1355
2014-11-26,6.1386
2014-11-28,6.1429
2014-12-01,6.1515
2014-12-02,6.149
2014-12-03,6.1499
2014-12-04,6.1541
2014-12-05,6.1497
2014-12-08,6.1725
2014-12-09,6.1855
2014-12-10,6.1763
2014-12-11,6.1881
2014-12-12,6.1864
2014-12-15,6.19
2014-12-16,6.189
2014-12-17,6.1957
2014-12-18,6.2139
2014-12-19,6.2196
2014-12-22,6.2213
2014-12-23,6.2256
2014-12-24,6.2148
2014-12-29,6.2222
2014-12-30,6.2015
2014-12-31,6.2046
2015-01-02,6.2046
2015-01-05,6.2201
2015-01-06,6.2125
2015-01-07,6.2127
2015-01-08,6.2143
2015-01-09,6.2085
2015-01-12,6.2027
2015-01-13,6.197
2015-01-14,6.1957
2015-01-15,6.187
2015-01-16,6.2065
2015-01-20,6.2137
2015-01-21,6.2112
2015-01-22,6.2085
2015-01-23,6.2279
2015-01-26,6.2535
2015-01-27,6.243
2015-01-28,6.2475
2015-01-29,6.2463
2015-01-30,6.2495
2015-02-02,6.2594
2015-02-03,6.2573
2015-02-04,6.2472
2015-02-05,6.2516
2015-02-06,6.2417
2015-02-09,6.2467
2015-02-10,6.2405
2015-02-11,6.2422
2015-02-12,6.244
2015-02-13,6.2399
2015-02-17,6.2546
2015-02-18,6.2546
2015-02-19,6.2546
2015-02-20,6.2546
2015-02-23,6.2546
2015-02-24,6.2546
2015-02-25,6.2591
2015-02-26,6.2584
2015-02-27,6.2695
2015-03-02,6.272
2015-03-03,6.2741
2015-03-04,6.2701
2015-03-05,6.2658
2015-03-06,6.262
2015-03-09,6.2635
2015-03-10,6.2615
2015-03-11,6.2613
2015-03-12,6.2614
2015-03-13,6.2585
2015-03-16,6.262
2015-03-17,6.249
2015-03-18,6.2289
2015-03-19,6.1955
2015-03-20,6.2037
2015-03-23,6.2135
2015-03-24,6.2046
2015-03-25,6.2116
2015-03-26,6.2103
2015-03-27,6.2145
2015-03-30,6.2065
2015-03-31,6.199
2015-04-01,6.1976
2015-04-02,6.1968
2015-04-03,6.193
2015-04-06,6.193
2015-04-07,6.1955
2015-04-08,6.202
2015-04-09,6.205
2015-04-10,6.2082
2015-04-13,6.2152
2015-04-14,6.2113
2015-04-15,6.2037
2015-04-16,6.1947
2015-04-17,6.1976
2015-04-20,6.2014
2015-04-21,6.201
2015-04-22,6.1927
2015-04-23,6.1975
2015-04-24,6.193
2015-04-27,6.2185
2015-04-28,6.2035
2015-04-29,6.1989
2015-04-30,6.2018
2015-05-01,6.2018
2015-05-04,6.2085
2015-05-05,6.2058
2015-05-06,6.2001
2015-05-07,6.2063
2015-05-08,6.2084
2015-05-11,6.2086
2015-05-12,6.2086
2015-05-13,6.2043
2015-05-14,6.2013
2015-05-15,6.2051
2015-05-18,6.2041
2015-05-19,6.2064
2015-05-20,6.2036
2015-05-21,6.1958
2015-05-22,6.1972
2015-05-26,6.2038
2015-05-27,6.2011
2015-05-28,6.2002
2015-05-29,6.198
2015-06-01,6.1985
2015-06-02,6.198
2015-06-03,6.1976
2015-06-04,6.2006
2015-06-05,6.2024
2015-06-08,6.2053
2015-06-09,6.2047
2015-06-10,6.2055
2015-06-11,6.2065
2015-06-12,6.2081
2015-06-15,6.208
2015-06-16,6.2085
2015-06-17,6.2086
2015-06-18,6.2075
2015-06-19,6.2085
2015-06-22,6.2085
2015-06-23,6.2066
2015-06-24,6.2061
2015-06-25,6.2084
2015-06-26,6.208
2015-06-29,6.2085
2015-06-30,6.2
2015-07-01,6.2008
2015-07-02,6.2044
2015-07-06,6.2089
2015-07-07,6.2097
2015-07-08,6.2087
2015-07-09,6.2086
2015-07-10,6.2092
2015-07-13,6.2081
2015-07-14,6.2088
2015-07-15,6.2082
2015-07-16,6.2094
2015-07-17,6.2085
2015-07-20,6.2095
2015-07-21,6.2095
2015-07-22,6.2093
2015-07-23,6.2091
2015-07-24,6.2095
2015-07-27,6.2091
2015-07-28,6.2084
2015-07-29,6.2089
2015-07-30,6.2096
2015-07-31,6.2097
2015-08-03,6.2087
2015-08-04,6.2086
2015-08-05,6.2096
2015-08-06,6.2096
2015-08-07,6.2087
2015-08-10,6.2094
2015-08-11,6.3232
2015-08-12,6.3845
2015-08-13,6.3982
2015-08-14,6.3908
2015-08-17,6.3937
2015-08-18,6.3928
2015-08-19,6.3956
2015-08-20,6.3875
2015-08-21,6.3887
2015-08-24,6.4029
2015-08-25,6.4122
2015-08-26,6.4083
2015-08-27,6.4053
2015-08-28,6.389
2015-08-31,6.376
2015-09-01,6.363
2015-09-02,6.3544
2015-09-03,6.3549
2015-09-04,6.3549
2015-09-08,6.3657
2015-09-09,6.3768
2015-09-10,6.377
2015-09-11,6.3735
2015-09-14,6.3664
2015-09-15,6.3685
2015-09-16,6.3694
2015-09-17,6.3645
2015-09-18,6.3628
2015-09-21,6.3676
2015-09-22,6.375
2015-09-23,6.3836
2015-09-24,6.3818
2015-09-25,6.3737
2015-09-28,6.3685
2015-09-29,6.3621
2015-09-30,6.3556
2015-10-01,6.3559
2015-10-02,6.3559
2015-10-05,6.3559
2015-10-06,6.3559
2015-10-07,6.3559
2015-10-08,6.3529
2015-10-09,6.345
2015-10-13,6.3417
2015-10-14,6.3462
2015-10-15,6.3459
2015-10-16,6.3523
2015-10-19,6.3591
2015-10-20,6.348
2015-10-21,6.3487
2015-10-22,6.3577
2015-10-23,6.3488
2015-10-26,6.3517
2015-10-27,6.3517
2015-10-28,6.3581
2015-10-29,6.3552
2015-10-30,6.318
2015-11-02,6.318
2015-11-03,6.318
2015-11-04,6.3357
2015-11-05,6.318
2015-11-06,6.318
2015-11-09,6.3619
2015-11-10,6.3603
2015-11-12,6.369
2015-11-13,6.3735
2015-11-16,6.37
2015-11-17,6.3771
2015-11-18,6.3834
2015-11-19,6.3825
2015-11-20,6.3835
2015-11-23,6.389
2015-11-24,6.3883
2015-11-25,6.3877
2015-11-27,6.3945
2015-11-30,6.3883
2015-12-01,6.3883
2015-12-02,6.3883
2015-12-03,6.3883
2015-12-04,6.3883
2015-12-07,6.4081
2015-12-08,6.4162
2015-12-09,6.427
2015-12-10,6.4363
2015-12-11,6.4538
2015-12-14,6.4588
2015-12-15,6.46
2015-12-16,6.4723
2015-12-17,6.4822
2015-12-18,6.48
2015-12-21,6.4793
2015-12-22,6.4778
2015-12-23,6.4763
2015-12-24,6.4758
2015-12-28,6.4778
2015-12-29,6.4778
2015-12-30,6.4896
2015-12-31,6.4778
2016-01-04,6.5338
2016-01-05,6.5219
2016-01-06,6.5554
2016-01-07,6.5926
2016-01-08,6.5932
2016-01-11,6.5675
2016-01-12,6.57
2016-01-13,6.57
2016-01-14,6.5891
2016-01-15,6.584
2016-01-19,6.5783
2016-01-20,6.5781
2016-01-21,6.5794
2016-01-22,6.5788
2016-01-25,6.579
2016-01-26,6.5814
2016-01-27,6.5773
2016-01-28,6.5744
2016-01-29,6.5752
2016-02-01,6.5778
2016-02-02,6.5795
2016-02-03,6.5765
2016-02-04,6.5638
2016-02-05,6.571
2016-02-08,6.571
2016-02-09,6.571
2016-02-10,6.571
2016-02-11,6.571
2016-02-12,6.571
2016-02-16,6.5154
2016-02-17,6.527
2016-02-18,6.5163
2016-02-19,6.5202
2016-02-22,6.5197
2016-02-23,6.5263
2016-02-24,6.529
2016-02-25,6.532
2016-02-26,6.539
2016-02-29,6.5525
2016-03-01,6.55
2016-03-02,6.5499
2016-03-03,6.5312
2016-03-04,6.5064
2016-03-07,6.5155
2016-03-08,6.5044
2016-03-09,6.5105
2016-03-10,6.507
2016-03-11,6.494
2016-03-14,6.4984
2016-03-15,6.511
2016-03-16,6.5189
2016-03-17,6.4745
2016-03-18,6.4682
2016-03-21,6.4812
2016-03-22,6.4876
2016-03-23,6.5035
2016-03-24,6.5124
2016-03-25,6.5131
2016-03-28,6.5051
2016-03-29,6.5063
2016-03-30,6.4648
2016-03-31,6.448
2016-04-01,6.4776
2016-04-04,6.4776
2016-04-05,6.476
2016-04-06,6.478
2016-04-07,6.4599
2016-04-08,6.4628
2016-04-11,6.458
2016-04-12,6.4639
2016-04-13,6.4768
2016-04-14,6.481
2016-04-15,6.473
2016-04-18,6.4717
2016-04-19,6.4571
2016-04-20,6.4675
2016-04-21,6.481
2016-04-22,6.5004
2016-04-25,6.49
2016-04-26,6.4905
2016-04-27,6.494
2016-04-28,6.4735
2016-04-29,6.4738
2016-05-02,6.4738
2016-05-03,6.49
2016-05-04,6.4945
2016-05-05,6.5032
2016-05-06,6.497
2016-05-09,6.514
2016-05-10,6.515
2016-05-11,6.491
2016-05-12,6.514
2016-05-13,6.5285
2016-05-16,6.5184
2016-05-17,6.517
2016-05-18,6.537
2016-05-19,6.544
2016-05-20,6.5485
2016-05-23,6.5533
2016-05-24,6.5552
2016-05-25,6.5538
2016-05-26,6.554
2016-05-27,6.5615
2016-05-31,6.5798
2016-06-01,6.5748
2016-06-02,6.5815
2016-06-03,6.5638
2016-06-06,6.5611
2016-06-07,6.571
2016-06-08,6.56
2016-06-09,6.559
2016-06-10,6.559
2016-06-13,6.5823
2016-06-14,6.593
2016-06-15,6.5785
2016-06-16,6.5899
2016-06-17,6.5849
2016-06-20,6.5768
2016-06-21,6.5893
2016-06-22,6.575
2016-06-23,6.574
2016-06-24,6.615
2016-06-27,6.6481
2016-06-28,6.645
2016-06-29,6.635
2016-06-30,6.6459
2016-07-01,6.6547
2016-07-05,6.677
2016-07-06,6.69
2016-07-07,6.679
2016-07-08,6.6878
2016-07-11,6.6917
2016-07-12,6.686
2016-07-13,6.6832
2016-07-14,6.6801
2016-07-15,6.6865
2016-07-18,6.7013
2016-07-19,6.6931
2016-07-20,6.676
2016-07-21,6.6735
2016-07-22,6.676
2016-07-25,6.6783
2016-07-26,6.669
2016-07-27,6.668
2016-07-28,6.6538
2016-07-29,6.6371
2016-08-01,6.6421
2016-08-02,6.6239
2016-08-03,6.632
2016-08-04,6.6388
2016-08-05,6.653
2016-08-08,6.6597
2016-08-09,6.653
2016-08-10,6.6345
2016-08-11,6.6274
2016-08-12,6.6324
2016-08-15,6.637
2016-08-16,6.624
2016-08-17,6.6328
2016-08-18,6.6297
2016-08-19,6.6515
2016-08-22,6.6475
2016-08-23,6.6378
2016-08-24,6.6562
2016-08-25,6.656
2016-08-26,6.669
2016-08-29,6.6775
2016-08-30,6.6778
2016-08-31,6.6776
2016-09-01,6.6713
2016-09-02,6.679
2016-09-06,6.6722
2016-09-07,6.66
2016-09-08,6.664
2016-09-09,6.6778
2016-09-12,6.6788
2016-09-13,6.6782
2016-09-14,6.6707
2016-09-15,6.6707
2016-09-16,6.6707
2016-09-19,6.665
2016-09-20,6.67
2016-09-21,6.6695
2016-09-22,6.663
2016-09-23,6.669
2016-09-26,6.6683
2016-09-27,6.6691
2016-09-28,6.673
2016-09-29,6.665
2016-09-30,6.6685
2016-10-03,6.6685
2016-10-04,6.6685
2016-10-05,6.6685
2016-10-06,6.6685
2016-10-07,6.6685
2016-10-11,6.719
2016-10-12,6.718
2016-10-13,6.7248
2016-10-14,6.7277
2016-10-17,6.735
2016-10-18,6.7401
2016-10-19,6.737
2016-10-20,6.7439
2016-10-21,6.7654
2016-10-24,6.7728
2016-10-25,6.778
2016-10-26,6.7706
2016-10-27,6.7819
2016-10-28,6.776
2016-10-31,6.7735
